,franq_disney,franq_pixar,franq_marvel,franq_natgeo,franq_princesas,franq_starwars,lift
YPF,11.111111111111112,14.814814814814813,11.111111111111112,25.925925925925924,18.51851851851852,0.0,0.104
Shell,11.76470588235294,17.64705882352941,29.411764705882355,23.52941176470588,11.76470588235294,5.88235294117647,0.016000000000000014
Axion,22.222222222222225,18.51851851851852,18.51851851851852,14.814814814814813,22.222222222222225,0.0,0.128
Visa,22.222222222222225,27.77777777777778,0.0,11.111111111111112,0.0,5.555555555555556,-0.02400000000000002
Mastercard,24.324324324324323,29.72972972972973,0.0,10.81081081081081,16.216216216216218,2.7027027027027026,0.264
American Express,12.5,25.0,15.625,31.25,12.5,3.125,0.15200000000000002
Peugeot,18.51851851851852,25.925925925925924,11.111111111111112,22.222222222222225,18.51851851851852,3.7037037037037033,0.055999999999999994
Ford,15.384615384615385,26.923076923076927,30.76923076923077,3.8461538461538463,19.230769230769234,3.8461538461538463,0.055999999999999994
Volkswagen,20.0,27.999999999999996,24.0,12.0,12.0,4.0,0.136
